name,description,price,photo_url,type
FINNALA Sofa,Sofa,"2,299",https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-grann-bomstad-golden-brown__0817417_pe774005_s5.jpg?f=xxs, Sofa
"KIVIK Sectional, 4-seat","Sectional, 4-seat","1,949",https://www.ikea.com/us/en/images/products/kivik-sectional-4-seat-with-chaise-grann-bomstad-black__0151451_pe309530_s5.jpg?f=xxs, Sofa
"FINNALA Sectional, 5-seat corner","Sectional, 5-seat corner","3,299",https://www.ikea.com/us/en/images/products/finnala-sectional-5-seat-corner-grann-bomstad-golden-brown__0817669_pe774093_s5.jpg?f=xxs, Sofa
"FINNALA Sectional, 5-seat corner","Sectional, 5-seat corner","3,299",https://www.ikea.com/us/en/images/products/finnala-sectional-5-seat-corner-grann-bomstad-golden-brown__0817669_pe774093_s5.jpg?f=xxs, Sofa
"FINNALA Sectional, 5-seat corner","Sectional, 5-seat corner","3,999",https://www.ikea.com/us/en/images/products/finnala-sectional-5-seat-corner-with-chaise-grann-bomstad-black__0817692_pe776083_s5.jpg?f=xxs, Sofa
"FINNALA Sectional, 4-seat","Sectional, 4-seat","2,399",https://www.ikea.com/us/en/images/products/finnala-sectional-4-seat-with-chaise-grann-bomstad-black__0817644_pe774072_s5.jpg?f=xxs, Sofa
KIVIK Sofa,Sofa,"1,799",https://www.ikea.com/us/en/images/products/kivik-sofa-with-chaise-grann-bomstad-black__0124784_pe281696_s5.jpg?f=xxs, Sofa
"KIVIK Sectional, 4-seat","Sectional, 4-seat","1,949",https://www.ikea.com/us/en/images/products/kivik-sectional-4-seat-with-chaise-grann-bomstad-black__0151451_pe309530_s5.jpg?f=xxs, Sofa
"FINNALA Sectional, 4-seat corner","Sectional, 4-seat corner","2,779",https://www.ikea.com/us/en/images/products/finnala-sectional-4-seat-corner-with-open-end-grann-bomstad-black__0817656_pe774086_s5.jpg?f=xxs, Sofa
KIVIK Sofa,Sofa,"1,199",https://www.ikea.com/us/en/images/products/kivik-sofa-grann-bomstad-black__0137863_pe296632_s5.jpg?f=xxs, Sofa
"FINNALA Corner sleeper sofa, 5-seat","Corner sleeper sofa, 5-seat","4,449",https://www.ikea.com/us/en/images/products/finnala-corner-sleeper-sofa-5-seat-with-chaise-grann-bomstad-black__0817698_pe776082_s5.jpg?f=xxs, Sofa
FINNALA Sofa,Sofa,"2,399",https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-with-headrest-grann-bomstad-golden-brown__0817210_pe773910_s5.jpg?f=xxs, Sofa
FINNALA Sofa,Sofa,"1,699",https://www.ikea.com/us/en/images/products/finnala-sofa-with-headrest-grann-bomstad-golden-brown__0817213_pe773907_s5.jpg?f=xxs, Sofa
KIVIK Loveseat,Loveseat,"1,049",https://www.ikea.com/us/en/images/products/kivik-loveseat-grann-bomstad-black__0115161_pe268373_s5.jpg?f=xxs, Sofa
"FINNALA Sectional, 5-seat corner","Sectional, 5-seat corner","3,299",https://www.ikea.com/us/en/images/products/finnala-sectional-5-seat-corner-grann-bomstad-black__0817667_pe774091_s5.jpg?f=xxs, Sofa
"FINNALA Sectional, 5-seat corner","Sectional, 5-seat corner","3,999",https://www.ikea.com/us/en/images/products/finnala-sectional-5-seat-corner-with-chaise-grann-bomstad-golden-brown__0817694_pe776084_s5.jpg?f=xxs, Sofa
"FINNALA Sectional, 4-seat","Sectional, 4-seat","2,399",https://www.ikea.com/us/en/images/products/finnala-sectional-4-seat-with-chaise-grann-bomstad-golden-brown__0817646_pe774070_s5.jpg?f=xxs, Sofa
"MALM Bed frame, Queen","Bed frame,",269,https://www.ikea.com/us/en/images/products/malm-bed-frame-black-brown-luroey__0638608_pe699032_s5.jpg?f=xxs, Bed
"MALM High bed frame/2 storage boxes, Queen","High bed frame/2 storage boxes,",349,https://www.ikea.com/us/en/images/products/malm-high-bed-frame-2-storage-boxes-black-brown-luroey__1154412_pe886059_s5.jpg?f=xxs, Bed
"SLATTUM Upholstered bed frame, Queen","Upholstered bed frame,",149,https://www.ikea.com/us/en/images/products/slattum-upholstered-bed-frame-vissle-dark-gray__1259335_pe926650_s5.jpg?f=xxs, Bed
"TARVA Bed frame, Queen","Bed frame,",179,https://www.ikea.com/us/en/images/products/tarva-bed-frame-pine-luroey__0637611_pe698421_s5.jpg?f=xxs, Bed
"HEMNES Bed frame, Queen","Bed frame,",349,https://www.ikea.com/us/en/images/products/hemnes-bed-frame-white-stain-luroey__0637516_pe698353_s5.jpg?f=xxs, Bed
"BRIMNES Bed frame with storage, Queen","Bed frame with storage,",349,https://www.ikea.com/us/en/images/products/brimnes-bed-frame-with-storage-white-luroey__1151024_pe884762_s5.jpg?f=xxs, Bed
"NEIDEN Bed frame, Full","Bed frame,",59,https://www.ikea.com/us/en/images/products/neiden-bed-frame-pine__0749131_pe745500_s5.jpg?f=xxs, Bed
"SAGSTUA Bed frame, Full","Bed frame,",219,https://www.ikea.com/us/en/images/products/sagstua-bed-frame-black-luroey__0783215_pe761511_s5.jpg?f=xxs, Bed
"BRIMNES Bed frame with storage & headboard, Queen","Bed frame with storage & headboard,",499,https://www.ikea.com/us/en/images/products/brimnes-bed-frame-with-storage-headboard-black-luroey__1151053_pe884765_s5.jpg?f=xxs, Bed
"TaLLaSEN Upholstered bed frame, Queen","Upholstered bed frame,",399,https://www.ikea.com/us/en/images/products/taellasen-upholstered-bed-frame-kulsta-gray-green-luroey__1239398_pe918880_s5.jpg?f=xxs, Bed
"SONGESAND Bed frame, Queen","Bed frame,",299,https://www.ikea.com/us/en/images/products/songesand-bed-frame-brown-luroey__0638582_pe699001_s5.jpg?f=xxs, Bed
"NORDLI Bed with headboard and storage, Queen","Bed with headboard and storage,",649,https://www.ikea.com/us/en/images/products/nordli-bed-with-headboard-and-storage-anthracite__1151020_pe884726_s5.jpg?f=xxs, Bed
"IDANaS Upholstered bed frame, Queen","Upholstered bed frame,",599,https://www.ikea.com/us/en/images/products/idanaes-upholstered-bed-frame-gunnared-dark-gray__0953726_pe802891_s5.jpg?f=xxs, Bed
"MALM High bed frame/4 storage boxes, Queen","High bed frame/4 storage boxes,",429,https://www.ikea.com/us/en/images/products/malm-high-bed-frame-4-storage-boxes-white-luroey__1154393_pe886042_s5.jpg?f=xxs, Bed
"KLEPPSTAD Bed frame, Queen","Bed frame,",199,https://www.ikea.com/us/en/images/products/kleppstad-bed-frame-white-vissle-beige__1035340_pe840527_s5.jpg?f=xxs, Bed
"GRIMSBU Bed frame, Queen","Bed frame,",79,https://www.ikea.com/us/en/images/products/grimsbu-bed-frame-gray__0749249_pe747240_s5.jpg?f=xxs, Bed
"YTTERVaG Four-poster bed frame, King","Four-poster bed frame,",749,https://www.ikea.com/us/en/images/products/yttervag-four-poster-bed-frame-gray-brown-luroey__1014365_pe829631_s5.jpg?f=xxs, Bed
"IDANaS Bed frame, Queen","Bed frame,",279,https://www.ikea.com/us/en/images/products/idanaes-bed-frame-white__0916067_pe784943_s5.jpg?f=xxs, Bed
"GLADSTAD Upholstered bed, 2 storage boxes , Queen","Upholstered bed, 2 storage boxes ,",299,https://www.ikea.com/us/en/images/products/gladstad-upholstered-bed-2-storage-boxes-kabusa-light-gray__1116349_pe872495_s5.jpg?f=xxs, Bed
"BJaRKSNaS Bed frame, Queen","Bed frame,",499,https://www.ikea.com/us/en/images/products/bjoerksnaes-bed-frame-birch-birch-veneer-luroey__1175828_pe894830_s5.jpg?f=xxs, Bed
